Tweet,Emotion
"Were havin a fake ass winter this year 1)fake tree2)no snow3)no st.nick I bet we'll be eating tofu on Christmas or some fake ass food #sad", sadness
"@Brianna_Demuth I KNOW RIGHT!!! I realized that like 2 months ago! #sad", sadness
"what is the point in taking exams? its too damn early! #annoyed.", anger
"I've never been so confused in my whole life. #depressed", sadness
"About ta order these chicken tenders from adelphias (: #love", happiness
"see all these eggs that keep tweeting me spam? can use please piss off. #annoying", anger
"11/11/11 made this day better than how it would of turned out! #happy", happiness
"I have this one piece of hair that refuses to cooperate #annoying", anger
"@millertime3434 happy to have u following me #proud #coolestkidondrayersecondfloor", happiness
"OMG. my sisters sooo #annoying :O", anger
"@lilhimy04 that's weird cause I came home to some nice homemade beef stroganoff :) #happy", happiness
"We all live in the same town like holy shit stop putting eachother down people fucked up but now we need to just look past it all. #annoying", anger
"@brookland They haven't rolled out the redesign for me yet :-/ #neglected", sadness
"Not to happy at all tonight #irritated", anger
"Math Finals today and I could be done for the semester...I need prayers, a lot of em #Nervous", fear
"I seriously never get mail. #Depressing", sadness
"@maddisonphoto I'm not mad, just #disappointed", sadness
"Bored at the moment! Tonight the weekend begins! #Excited", happiness
"I love when @Ali_Miller blames her awkward private experience that's now public on me... #annoying #liar", anger
"working on a track.. it's gonna be beautiful #music #love", happiness
"just got a lot of motivation from looking at those pics... #disgusted", disgust
"Airport soon! Soo #tired, but #excited :)", happiness
"Jack Frost is onn !  #love", happiness
"@brian_littrell we would like to get a chirp from u @natalie_peer @luvbsb1264 @maru85argent one chirp for us please. love you :) #LOVE", happiness
"why does youtube have adverts before just about everything.. #annoying", anger
"Going for a walk in the cold cause' I just can't stand my mum anymore!#RAGE.", anger
"hockey tryouts tomorrow.. cant focus on anything else. #nervous", fear
"Headed to church with @Jacks_Chilling, it's been way too long.. #excited", happiness
"Let my sister cut my own bangs... Idk how I feel about this... #nervous", fear
"Has anyone noticed the weird change in Facebook where everyone in your news feed is in a relationship? #lonely #fuckit #livingitup", sadness
"Really need to be going to sleep but cant get over the fact that it's only 41 DAYS UNTIL CHRISTMAS. #EXCITED #iPad2 #EEK", happiness
"A netballers fitness is tragic. #embarrassment", sadness
"@NiallOfficial bought #UpAllNight today!!!!!! OMG its your first album! #exciting", happiness
"No more homeworks no more midterms no more presentations no more dwam #happy#7mdella", happiness
"Eppp getting graded today ! #nervous", fear
"Oh j'ai fais un mini Skype avec Marine!!! #Happy", happiness
"Spent the first half  of the game yelling at the tv pleaes don't make me do it again ksu...step it up #embarrassing", sadness
"Skipping school to hang out with @bbrookebrady1 #love", happiness
"I got a full 10 hours of sleep for the first time in months & I'm still tired. #annoyed", anger
"Sad day in American college sports. PSU rapes... #disgusted", disgust
"@Lakers @RickyRo24  wow, from East LA to CSUF to Blue Jays to Laker Reporter #proud #goodlook", happiness
"Gonna have some fun tomorrow night! #excited #gettinmydrinkon", happiness
"@zaynmalik 's harmony was on point & nice airtime <3 #xfactorcharitysingle :) #Proud", happiness
"@thelockedwonder ppl vote for politician as if they are entertainers not on competence #sad", sadness
"I should have answered his call at 4am last time I got a call like that it wasn't good if anything happens I'm to blame=/ #worried", fear
"People take things for granted,but if it wasn't for god we wouldn't have anything #sad", sadness
"Just clutched my mouse so hard that the ball fell out. #frustrated #oldtechnology", anger
"«@MorganLoko Half of the people we used to chill with every weekend we don't even see anymore #sad»", sadness
"@pshcassiecute omg this guy came through my line that smelled so bad i made peter bag for me so he would leave quicker. #disgusting", disgust
"ok path is actually pretty cool.. #surprised", surprise
"Can't keep my eyes open #sleepy i hate  waking up late and going into school late #annoyed", anger
"This no coffee thing is going to get ugly for someone!!!!!!!!!!!!!!!!!!!! #irritated", anger
"Just in time to buy my early morning Akara... #Bliss", happiness
"i got my 180th follower again lol #happy", happiness
"i really wanna bake something christmasy but its tooo early! chrimbo needs to hurry up! #excited", happiness
"Smh blew 450 in a couple hours. #Hurt.", sadness
"First day of school and I'm knackered and need to wash my hair #notcool. #nervous.", fear
"i hate it when i have nothing to wear #frustrating", anger
"300th Tweet Goess To @CraigTJones (: #Happy <3", happiness
"Lack of planning on your part does not constitute an emergency on mine #Irritated", anger
"Listening to the kids sing christmas carols, job hunting and just had coffee with Peter. #happiness :)", happiness
"I wanna go home now #homesick", sadness
"@ChelseeaLoveee why is you no talking? Teltie! #love", happiness
"It's funny how, as they've aged, the best looking Rolling Stone is now Charlie Watts #rage", anger
"I think @SkysNuts and @RedFoo are gone, now i can go to the bathroom :) #Happy", happiness
"@justinbieber Someday at Christmas! ahhhhh! #love <3!", happiness
"#relationships - How you communicate is often just as important as WHAT you communicate. #Thinkabout #Love", happiness
"I know that from today on I will ALWAYS stand up for others being bullied. Forever #Jonah #Pride #kids", happiness
"Parents are coming at noon #excited", happiness
"I Love a Female with Confidence.#LOVE", happiness
"So Yu cnt sign One sheet of paper!!!! #sad", sadness
"Riding backwards on a train to the big NYC. #leggo #excited", happiness
"I love #odu standing ovation on the way out from a basketball game, that's #love", happiness
"My phone freezes but still gets texts and won't let me check them #depressing", sadness
"Everyone's getting promise rings...4 1/2 years and I don't have one...#sad", sadness
"I love leaving my phone at school. #stupid omg the song just came on with the best memories with keel. #embarrassing #lovelife", sadness
"@bigjstl @u2acro That's the word on the street.  Will you?  OMG, get to meet you FINALLY? #Thrilled", happiness
"Goin to bed early... #exhausted #frustrated #AngryTweet", anger
"Shopping for all of thanksgiving when Wegmans is a zoo and I have a long list brings me #enjoyment", happiness
"My alarm just never works on a saturday, #Annoying !", anger
"And all I need is one fuckin sheet stamped! #rage", anger
"I wish they would already start the movie! #excited", happiness
"3 day weekend! :D a sleep in will be nice #excited", happiness
"hey mom, just because its christmas time doesn't mean I want to listen to christmas music 24/7 #annoyed", anger
"This is the worst part of drama... #lonely", sadness
"I hope threw all this rain im putting my self through the sun is shinning brighter then ever #depressed", sadness
"As long as we are both still breathing. Its not to late. #love", happiness
"This banana berry milkshake on point! #love", happiness
"I waited all season for this game. Not what I had hoped for... #disappointed", sadness
"Most people support someone the don't know vs someone they do know.....#sad", sadness
"Your voice kills me #shutup #annoying", anger
"dying my hair for the first time #nervous", fear
"“@Mo_Saqib: Listening to Michael Buble's 'Lost'. This song is a tuuuuuuuune!” #fact #proud", happiness
"I feel like my bedroom makes me hate life. And I don't know why #depression #sadness #unproductivity", sadness
"@ItsIsra_ awwww! I miss you too sis! Very much. I can't wait to see you again. We need to spend some #tWintime!!!!! #love", happiness
"Blah , i cant explain to myself exactly why i feel like this ??? so ima stay to myself for the rest of the week #annoyed", anger
"If we both want the same thing, you gotta meet me half way... #Anxious", fear
"@tonebekillinem lol well I hope your ok baby girl md other than the car no trouble!? If my mind is going in the right direction (; #LOVE", happiness
"Just had a four hour road lesson. #annoying", anger
"Why waste your time, gettin hurt by someone... When there's someone else out there waiting to make you #happy :)", happiness
"Best 2 hours of tv, gossip girl followed my one direction #love", happiness
"I have a headache, and I'm hungry .-. #suffering", sadness
"Tomorrow must just come already #excited!", happiness
"That moment when everything clicks #happiness", happiness
"Awww My Puppy La La Just Crawled Up By Me & Fell Asleep! #Love", happiness
"beast ass weekend ;) can't wait till next! #excited", happiness
"Gutted. Just leapt out of bed coz heard the post lady knock.meaning something didnt fit. (my skate stuff)  turns out it wasnt. #disappointed", sadness
"On my way to see Breaking Dawn :  ) #Anxious !", fear
"@Reneebrinksx @rosannees @xilsexxxx love you toooo all of the three hahaha#love", happiness
"I don't understand u at all!! #annoying", anger
"Bitch, don't blame this on me. #annoyed", anger
"@AustinMahone did a cover for jenna by my favorite song count on me. I Told him like 100times, he still doesnt know I exist! </3 #depressing", sadness
"So apparently there was a bedbug on this kids neck in the lunchroom. I'm so #disgusted", disgust
"Wish the internet would stop being a poo brain! #annoying", anger
"left my phone at sara's, fucking great #imdumb #annoyed", anger
"Congress has declared pizza to be a vegetable. It's no wonder they also think the Department of Education is over-funded. #disgusted", disgust
"@emdress sooo sad i wont have a plane partner on my way back tomorrow:( #lonely", sadness
"This will be the first year my baby is in the christmas parade. #excited", happiness
"Pretty little liars and switched at birth in January. #excited", happiness
"J'aime les jours fériés #happy", happiness
"Subway for dinner :) party at church tomorrow :) awake-a-thon after that...tommorro's gonna be good #excited", happiness
"When your heart races , and your smile widens...#love", happiness
"@stevemagness is trying to kill me. 2x15 seconds uphill sprint tonight. #nervous", fear
"painting, listening to music, and both puppies are curled up on my floor :) #happy", happiness
"So I wake up n I hear long gun shot n it my dad beating my brother at black ops #sad", sadness
"Terry and Julie's wedding! #anxious", fear
"I'm about to die. #nervous", fear
"If you like your @Netflix movie to retrieve every 30 seconds, go ahead and update netflix on Wii.  #irritating", anger
"@JackWills birmingham student lock-in tonight! #excited.", happiness
"Tonights one of those night where I wanna lay with you talk and fall asleep in your arms. #love", happiness
"Picture time w/ the brother and about to be sister in law. Once again I ask, why are the trusting me with the picture taking task? #nervous", fear
"It pisses me off when someone has told me they are going to take me to do something, and then changes there mind once again . #irritated.", anger
"Reunited and it feels sooooo good!! @manders1624 @bgussss #love", happiness
"Anyway... I'm a Ginger again and I think I'll end up with a but of auburn hair. I guess we'll see. #surprise", surprise
"Just got so overwhelmed and discouraged. Trying not to cry/breakdown/pull my hair out. #disappointed", sadness
"Getting our #Christmastree ((: #YAY #EXCITED", happiness
"I'll be home Next Thursday.... #excited", happiness
"First tour date tomorrow @onedirection, cant believe it. So sad im not going :( ah well. Good luck, #proud", happiness
"Bout to spend my last night in the library for a minute #happy", happiness
"gets to finally see a silly boy soon!  #excited", happiness
"back to Italy in 10 days after 1 year and keep wondering how my country looks like. #worried", fear
"Wow so no pass interference on molden?.. #SAD", sadness
"Gm Ya'll! Children laugh about 400 times a day, while adults laugh on average only 15 times a day. So let's have a happy Friday! #Joyful", happiness
"It gets old after a while.. #lonely #fsingle.", sadness
"guys who treat great girls like shit #fail #annoyed", anger
"I remember when we used to call eachother bestfriends.. Now.. It's all a blur.. & nothing fits in that category now.. #Hurt", sadness
"my hair isnt the exact shade of brown that i want. #irritated #brunetteissues", anger
"@BongsandTaylors awwww my bay cumn ova 2 #love", happiness
"Back from Spain and blessed to be uncle ones again! Daniel, Sanne & Dean  congrats with a new son, brother and my nephew Jason #happy #fam", happiness
"IMMA TREAT HER LIKE MY GIRL SINCE SHE FORGIVE ME FOR MY WRONGS #Love", happiness
"Watching beauty and the beast #love", happiness
"remembering Saturday night screaming the lyrics to mr brightside to my sisters friends and looking like a man #embarrassing", sadness
"That show Friendzone is definitely based on true stories #sad", sadness
"my horoscope says im going on an exciting trip, it will be just the break i need and i should enjoy every minute of it. #excited.", happiness
"Banning myself from doing anymore christmas shopping #excited", happiness
"Love coming home to see the Christmas presents under the tree #excitement", happiness
"@ms_tor oooh it must be that! The CD i ordered would fit in my postbox! I've seen whats in there this month! #excited", happiness
"@asenter03 haha I figured she'd tell you anyways! Thanks though! #nervous", fear
"I thought break was so I don't have to see people that I don't like but for some reason I have seen em all #annoying #hatepeople", anger
"Seriously though, Xmas music everywhere i go ? #annoying", anger
"Diario de una pasion en el 34 (I-SAT) #love", happiness
"Goin to drive the little bug around town! #excited", happiness
"Wen u wake up with Jessie Js do it like a dude playin in ur head it makes u wonder wat u were dreamin bowt. Off to durbs XD #happiness", happiness
"nxa! i hate to c pregnant teenagerz #disgusted", disgust
"Really thinking about going swimming with the dolphins this weekend #exciting", happiness
"#OTD lol “@KissWithEmotion: i just recieved 18 texts in less than 1 minute . #annoying”", anger
"So glad I rushed like a mad woman to get to my hair appt on time, and she's running late #annoyed", anger
"wake up, wake up, I don't wanna wake up, wake up... #thinking #frustrated", anger
"@LochMessMonster Love that your first tweet was at me and included Swag. #Honored #Proud", happiness
"Can everybody on both sides agree to not be assholes to anybody, no matter what happens? #love #respect #okieforlife", happiness
"“@zaccatee: @Hbyleycole too much tweeting from You! #annoying” #truth", anger
"How come every time I want a shift covered nobody can do it but when someone needs me to cover their shift I do??!! #annoyed #toonice", anger
"I want to go to bed, but I can't. I'm still hopelessly drowning in my own mess. #frustrated", anger
"@facebook I have 3 overlapping, disappearing scrollbars on the right side of my browser....How is this even close to good UX? #Frustrated", anger
"Shit just doesn't make sense sometimes #disappointed #confused", sadness
"@KieraDominguez oh you know it especially when your mom bursts out laughing and the whole restaurant looks at you #embarrassing #goodtimes", sadness
"Pet Peeve when people don't reply to your texts! #annoying", anger
"Its called bestiality, &its #ILLEGAL and #DISGUSTING.", anger
"looking forward to a day off Wednesday, #bliss", happiness
"I like actually having conversations with people.. Not jus 2 word sentences that I don't even know how to respond to.. #annoying", anger
"@Iheartcheekz im great thanks 4 askin enjoyin this morning waiting for this holiday #excited!!!!", happiness
"Apparently zach sooley's going to fuck me on monday...? #excitement #overwhelming", happiness
"Laying on my sisters shoulder #love #family", happiness
"I just put waaayy too much sugar in my coffee. Is this what diabetes tastes like?? #disgusting", disgust
"When the kid you ride to shook with has terrible breath < mouth wash, use it, bro. #disgusted", disgust
"If Alex Leave After The Break I'm Turning My Tv Off Straight #RAGE #bbuk", anger
"Duudee , grow up . Stop acting like a little girl . #annoyed", anger
"seriously cowboys? SERIOUSLY?! we are becoming the texas a&m of the NFL. #embarrassing", sadness
"@zwick_e i thought you were gonna start tweeting more... #disappointment", sadness
"Can't wait until Christmas :) #homewithyou #presents #love", happiness
"Scored 34 points, won the game and finally got our jerseys!!!! :) #happy", happiness
"@JustFabOnline > 2 pencils 4m a classmate, while in the 5th grade. We played the Secret Santa/Kris Kringle game. :-(   #hurt", sadness
"when people are so desperate to get 7 trillion likes on their picture that they flaunt their boobs all over the place. #pathetic #disgusting", disgust
"Just got caught in the middle of a couple of black guys bro hug/snap thing. Again, #embarrassing #ineedtostopgoingtoclass", sadness
"people that tweet dumb shit #annoying", anger
"ordering a usf jacket!! #excited.", happiness
"@haygoodfan1990 i get to see my cousin thats in the navy tomorrow! i havnt seen him in...i dont even remeber how long! #excited", happiness
"@raybakes93 your funny. i smell i hint of jealousy? #sad", sadness
"I'm blessed. #elhamdollah #happy", happiness
"Got me some crreraaccckkkllee #excited", happiness
"The juniors and seniors both are pretty ridiculous if they're fighting about whose better. I know I'm just a sophomore but damnnn. #annoying", anger
"meteor rain at 9pm... #cantwait #excited", happiness
"Ok...  Why are men so clueless sometimes?  I seriously would like to know. #Frustration!!!", anger
"Had a dream last night that I was jogging down 1st street in SHA. #homesick", sadness
"Yes I'm 20, and still get child support, so I expect the right amount in my bank account when I wake up on Friday.. #daddyprobs #annoyed", anger
"Hate when boyfriend leaves #lonely", sadness
"The trains always delayed when your on your own! #lonely", sadness
"Thanks 4 the #light! Thanks 4 the #life! Thanks 4 the #love!", happiness
"I swear if I could walk around hitting people with hams and have no consequences, oh boy would I be busy. #annoyed", anger
"Even though everything.... I'm #Happy  :)", happiness
"Awwwww they wanna take pics of me :) #excited", happiness
"I don't understand how people can abuse animals the way they do. Its absolutley #disgusting", disgust
"I wonder why I get fat I'm making cookies #Sad", sadness
"Can you say tan lines?:D #excitement", happiness
"Looks like im going to the @PerfectGameUSA world showcase:)  #excited", happiness
"I regret not doing shit in English class; I'm stuck on this stupid resume!  #frustrated", anger
"to all of you not studying for #lawschoolfinals, I just want to shout a big F U. @rsever1 knows what i'm talking about #depressed", sadness
"Hate going shoppin wi my mum and aunty they actually take so long #yawn #Annoying", anger
"i really need to step up my twitter game #sad", sadness
"#BlackFridayShopping with my second family , for the first time ever .. #Excited !", happiness
"Seriously, they need to stop making these dumb ass chipmunk movies. #annoying #dumbaf", anger
"Tonight was the best night I've had in a long time. #happy", happiness
"@RedSwagND haha really? see there's an upside and downside. they can be gross, but they look sooooo good. #frustrating", anger
"when you had no friends me & @xxpauline21xx were with you so dont start it #annoying", anger
"@angusbubble yes! Especially the times when you're tucked up in bed on a cold winter morning! #bliss", happiness
"No school tomorrow im #HAPPY", happiness
"off to my drive test. gettin the license thursday. #excited", happiness
"@AmoebaSF We love Amoeba!! #love #music", happiness
"@rioferdy5 group stage not a formality. Should I really pay to see you play in the Europa......I can't even say it #embarrassing", sadness
"The neighbors that live behind me wake me up from drama yelling #annoying #sleepdeprived", anger
"@justinbieber Follow me please? #Iloveusomuch ? #2Days All I Want For Christmas Is You #Excited :) 91", happiness
"'yes it is worth it' #goodnightworld #exciting :)", happiness
"You always have to make things worse. And you never believe a word I say. #annoyed", anger
"I hate people especially in big crowds that's why I will never go to newyork! #annoyed", anger
"finishing up my christmas shopping tomorrow!! #excited", happiness
"I wish I was with him right now. #lonely", sadness
"Wishes things were different and my sons dad wasn't so selfish. Really needs the Lord in my life. #Depressed", sadness
"Sometimes I wanna just go n move with my dad...but I can't leave behind my school n friends especially my babesz....#love", happiness
"Wondering mosquitoes still out...ugh #annoying", anger
"I wanna go to bed , but i cant stop texting you #Happy", happiness
"I hate my @debian  X bell ... I can't disable it permanently . The one who implemented it doesn't have audio in his workstation! #Disgusting", anger
"Shit shoud of talked to the spacial  girl tonight... :( #sad #drunk", sadness
"Every 18 hours someone dies in new york city. #depressing", sadness
"The thing i hate the most- never ever be late #frustrated", anger
"#fightnight starts now! #teamkhan #excited!", happiness
"Let's get this week popping #coffee #enthusiasm", happiness
"I feel like random people know more about what I'm doing in my life then I do. #whyisthat #worried #confused", fear
"#somf so nasty for some of dhese pics i be seeing on mah TL #disgusted", disgust
"When my Dad and sister argue over math homework for an hour and a half. In the kitchen. #joy", happiness
"Still recovering from my hospital visit. Check up tomorrow. #nervous", fear
"When your only friend leaves school and doesnt tell you <<< #sad #ihavenofriends", sadness
"dad made me the best coffee/hotchocolate evaa #thankyousomuch #happy", happiness
"@himali_ranade @MaddyMason3 why was i not invited to this smashing of himali's tables #hurt", sadness
"Did Milbury threaten to beat a kid with his shoe or? #Embarrassing", sadness
"My ma told me to get off twitter and go wash my funky ahhh #hurt", sadness
"@CherylBle I'd say the 11 point super-low... #sad @homeloanninja @TimBledsoe", sadness
"very grown up conversation tonight. #PROUD!", happiness
"I'm fine until I see you & hear your laugh & see you smile.. Then I fall to pieces.. :/ #sadtweet #depressed", sadness
"I hate when people break up with people then act like they happy on a social network stfu you know you not! #annoying", anger
"This shit on my mind needs to dissapear I need to sleep and i wanna punch him in the balls. #frustrated.", anger
"#thatawkwardmoment when i sprint to my car to get out of campus secruity giving me a parking ticket #embarrassing", sadness
"Mmmmm black friday is almost here #war #love", happiness
"My sister left me home alone all night. #worried", fear
"@Corrie_Addie I can't get u the thing I wanted to and I can't find a replacement thing #rage", anger
"Day one- not talking to you sucks. #Hurt", sadness
"In school i wish i actually learned stuff im gonna need in life #annoyed", anger
"Can't wait for christmas #excited", happiness
"Totally had a dream that I had a real job then I woke up! -___-   #disappointed", sadness
"Coloring and listening to Disney music ..#happy", happiness
"@AleBedoya17 are you sure your rangers quality? #frustration", anger
"Hates when people complain soo much. #annoying.", anger
"My nine year old cousin has a bigger butt then me #sad", sadness
"Got an 80 in ap European history!!! Whaddup!!! #excited #lucky", happiness
"If you follow me , I respect you !! It takes alot to actually follow someone . #PRIDE", happiness
"I cant wait! Friday is the day i go to the hair dresser!!! #Excited", happiness
"I miss my family so much.. My mom my lil sister and my lil brother, it'll be my first Christmas without them.. #Sad", sadness
"history teacher falling on her ass today, while flattening the chair #embarrassing #funnyassteachermoments", sadness
"So.... warming up for the #xfactor party by watching stricly and my housemate make me dinner #bliss", happiness
"Living The Good Life! #Happy", happiness
"I just need to go to sleep im so fuckin #IRRITATED", anger
"Absolutely hate when I can't find my sock after laundry... Seriously?? It's all my stuff? #annoying", anger
"@justinbieber ur vid for all i want for xmas is you is so great:) i like that ur songs hav a story in th video #proud", happiness
"When you get a text sayin someone you care a ton about just got kicked out the house & your parents wont let you go rescue them #frustrated", anger
"my house is the definition of a clusterfuck this evening. #annoyed", anger
"@Southern_Trains oh look no seats at all Tis the season to be spoiling us huh? #not #joy", happiness
"Just saw a Sedin header. My sporting world's have come together. #bliss #canucks", happiness
"I might have to confront two things tomorrow. ? #nervous", fear
"@XGloT_24X theres a part two of the notebook???!! #excited", happiness
"WHY IS IT SO EXPENSIVE TO GO TO SYDNEY?!? #Annoyed", anger
"My favorite day of the week is Sunday.... #Happy", happiness
"my cousin and i will have a blast driving to nashville for tsu's hc 2moro. she behave's ridiculously. absurdity will be king! #excited", happiness
"Seriously, why isn't Mr. Big real? #love", happiness
"mom, your already in the car just drive me to school instead of the next bus stop #annoying", anger
"sitting at a bar by myself #idontevenknow #nervous", fear
"@bubbles1057 no problem! now you just have to get your hashtagging started and you will be a pro #love #newbieprobz", happiness
"Really pandora? Playing summer songs? #notcool #depressed #summerhurry", sadness
"My mom just found out I have a twitter..? #NowShesGonnaStalkMyLife #Annoyed", anger
"It's amazing how quiet it gets after @BethLowry4 leaves.. #lonely #naptime", sadness
"@DonnieWahlberg hope you are well sweetie, miss you and your tweets, anyway you need to sleep and rest, hope you have a great Sunday! #LOVE", happiness
